 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
36,"Shine On Through","Elton John",96,5B,19,2020-09-13,03:45,29,"glam rock, mellow gold, piano rock, rock","Rock","A Single Man",1978-10-01,47,35,0,18,0,10,-14,D#/E♭,4,6alVOFBQtlXKUnkvpLkVsE,"EMI",GBAMS7800128,no
37,"Return To Paradise","Elton John",120,8B,41,2020-09-13,04:15,23,"glam rock, mellow gold, piano rock, rock","Rock","A Single Man",1978-10-01,62,14,0,53,0,10,-11,C,4,4BTqc5vVoB3Cu3F6qtFXiz,"EMI",GBAMS7800127,no
38,"Shooting Star","Elton John",122,6B,27,2020-09-14,02:44,19,"glam rock, mellow gold, piano rock, rock","Rock","A Single Man",1978-10-01,66,28,0,23,0,10,-17,A#/B♭,4,2ewZevXBQuNuNQVHhSKdmC,"EMI",GBAMS7800121,no
39,"Madness","Elton John",137,8B,69,2020-09-14,05:53,21,"glam rock, mellow gold, piano rock, rock","Rock","A Single Man",1978-10-01,58,1,0,55,0,20,-10,C,4,7jOu8dOL0lRL8E1y8Zwe4V,"EMI",GBAMS7800120,no
40,"Two Rooms At The End Of The World","Elton John",126,8B,55,2020-09-16,05:39,21,"glam rock, mellow gold, piano rock, rock","Rock","21 At 33",1980-05-13,78,1,0,97,0,0,-12,C,4,0Qjv3FuTDNVA7ROf3UM3ib,"UMC (Universal Music Catalogue)",GBA098000040,no
41,"Breaking Down Barriers - Remastered 2003","Elton John",141,6A,79,2020-09-16,04:41,20,"glam rock, mellow gold, piano rock, rock","Rock","The Fox",1981-01-01,52,24,1,57,0,60,-10,G minor,4,0cao7zXiY3a5BTRzsO5R0Q,"UMC (Universal Music Catalogue)",GBA098100010,no
42,"Dear John - Remastered 2003","Elton John",170,9B,85,2020-09-18,03:33,21,"glam rock, mellow gold, piano rock, rock","Rock","Jump Up!",1982-01-01,53,2,0,96,0,10,-10,G,4,2KkATTWT3nJalkA5588fQ9,"UMC (Universal Music Catalogue)",GBA098200010,no
43,"I Am Your Robot - Remastered 2003","Elton John",138,8A,79,2020-09-18,04:44,17,"glam rock, mellow gold, piano rock, rock","Rock","Jump Up!",1982-01-01,66,0,0,74,0,0,-11,A minor,4,6xxA33oKDP3URcaeCzEawr,"UMC (Universal Music Catalogue)",GBA098200050,no
44,"Restless","Elton John",122,7B,86,2020-09-21,05:16,21,"glam rock, mellow gold, piano rock, rock","Rock","Breaking Hearts",1984-07-09,75,16,6,90,0,10,-10,F,4,73nYjLyEtNZHRyDtIFFQIC,"UMC (Universal Music Catalogue)",GBALX0080001,no
45,"Li'l 'Frigerator","Elton John",165,11B,80,2020-09-21,03:37,18,"glam rock, mellow gold, piano rock, rock","Rock","Breaking Hearts",1984-07-09,48,5,29,83,0,10,-10,A,4,4qCzeQdIDQbGOhc6nUsdKC,"UMC (Universal Music Catalogue)",GBALX0080004,no
46,"Burning Buildings","Elton John",73,4B,50,2020-09-21,04:01,26,"glam rock, mellow gold, piano rock, rock","Rock","Breaking Hearts",1984-07-09,43,66,0,12,0,0,-12,G#/A♭,4,4hgId8WzUQkUV5mpu6vB9P,"UMC (Universal Music Catalogue)",GBALX0080007,no
47,"This Town","Elton John",119,6B,85,2020-09-22,03:56,23,"glam rock, mellow gold, piano rock, rock","Rock","Ice On Fire",1985-11-07,79,9,1,81,0,10,-9,A#/B♭,4,65mcPebdGSUMX6VioUCV3X,"EMI",GBAMS8500189,no
48,"Go It Alone","Elton John",170,3B,84,2020-09-24,04:29,14,"glam rock, mellow gold, piano rock, rock","Rock","Leather Jackets",1986-10-15,59,6,3,90,0,20,-14,C♯/D♭,4,0GeWhXqhwd7sBwciN2QboY,"EMI",GBALX0080012,no
49,"Memory Of Love","Elton John",102,9B,26,2020-09-24,04:08,12,"glam rock, mellow gold, piano rock, rock","Rock","Leather Jackets",1986-10-15,71,27,0,39,0,0,-16,G,3,5E0TUUfpxgWQ4uMKeZyT2B,"EMI",GBALX0080017,no
50,"Mona Lisas And Mad Hatters (Part 2)","Elton John",117,8B,87,2020-09-26,04:12,21,"glam rock, mellow gold, piano rock, rock","Rock","Reg Strikes Back",1988-06-24,67,2,0,92,0,20,-8,C,4,2ltFzTjLY78n13SY6D8t6Y,"EMI",GBAMS8800003,no
51,"Healing Hands","Elton John",112,10B,81,2020-11-15,04:29,47,"glam rock, mellow gold, piano rock, rock","Rock","Sleeping With The Past (Remastered with bonus tracks)",1989-08-29,63,0,0,79,0,0,-10,D,4,4rxCQMELiiH0gk8nbTd2tR,"Mercury Records Limited",GBALX8900103,no
52,"Sleeping With The Past","Elton John",130,2B,81,2020-11-18,04:52,30,"glam rock, mellow gold, piano rock, rock","Rock","Sleeping With The Past (Remastered with bonus tracks)",1989-08-29,78,1,0,88,0,30,-9,F#/G♭,4,4S3PsJuH4Gv3DwXMdJgCli,"Mercury Records Limited",GBALX8900106,no
53,"The Last Song","Elton John",125,3B,29,2020-12-16,03:33,45,"glam rock, mellow gold, piano rock, rock","Rock","The One",1992-06-22,31,33,0,9,0,0,-13,C♯/D♭,1,0pNXDQo75eOukoK8PejiRE,"EMI",GBALX9200189,no
54,"Fat Boys And Ugly Girls","Elton John",136,8B,80,2020-12-16,04:14,25,"glam rock, mellow gold, piano rock, rock","Rock","The One",1992-06-22,66,0,9,87,0,10,-9,C,4,14sADwg78MbJw9dDL62iRR,"EMI",GBAMS9200001,no
55,"Michelle's Song - From “Friends” Soundtrack","Elton John",137,7B,37,2020-12-17,04:20,26,"glam rock, mellow gold, piano rock, rock","Rock","Rare Masters",1992-10-20,43,80,0,37,0,10,-16,F,4,2e2tuKera7JpdOArm6sDcl,"UMC (Universal Music Catalogue)",GBAMB0080037,no
56,"Seasons - From “Friends” Soundtrack","Elton John",126,8B,3,2020-12-17,03:56,21,"glam rock, mellow gold, piano rock, rock","Rock","Rare Masters",1992-10-20,19,92,6,5,0,10,-24,C,5,3YOkHFf9pxsvd649JYKNqh,"UMC (Universal Music Catalogue)",GBAMB0080038,no
57,"Variation On Michelle's Song (A Day In The Country) - From “Friends” Soundtrack","Elton John",88,7B,4,2020-12-26,02:47,14,"glam rock, mellow gold, piano rock, rock","Rock","Rare Masters",1992-10-20,13,89,85,18,0,10,-27,F,3,42n1Nj4UAT4dOyJjER6qyi,"UMC (Universal Music Catalogue)",GBAMB0080039,no
58,"Seasons - Reprise / From “Friends” Soundtrack","Elton John",56,8A,9,2020-12-27,01:39,17,"glam rock, mellow gold, piano rock, rock","Rock","Rare Masters",1992-10-20,35,93,0,21,0,0,-21,A minor,4,0A2ZuNmsMiXKEyLFTvCOHI,"UMC (Universal Music Catalogue)",GBAMB0080043,no
59,"Sugar On The Floor","Elton John",124,6B,14,2020-12-28,04:33,16,"glam rock, mellow gold, piano rock, rock","Rock","Rare Masters",1992-10-20,52,93,0,21,0,0,-16,A#/B♭,4,1oMzKOEx2bLQJ0QesuDtJK,"UMC (Universal Music Catalogue)",GBF087500018,no
60,"Old Friend","Elton John, Nik Kershaw",95,10B,82,2020-12-28,04:15,29,"glam rock, mellow gold, piano rock, rock, new romantic, new wave, new wave pop","Rock","Duets",1993-11-22,51,10,0,42,0,10,-9,D,4,3L7LGM8ZL8Kz961q8bZE6i,"EMI",GBALX9300019,no
61,"I'm Your Puppet","Elton John, Paul Young",96,8A,57,2020-12-29,03:35,47,"glam rock, mellow gold, piano rock, rock, new romantic, new wave, new wave pop, soft rock","Rock","Duets",1993-11-22,80,21,0,84,0,20,-8,A minor,4,768RawbMvID5MrxZEjznHx,"EMI",GBALX9390105,no
62,"Duets For One","Elton John",188,8B,76,2020-12-29,04:52,30,"glam rock, mellow gold, piano rock, rock","Rock","Duets",1993-11-22,57,4,0,69,0,10,-8,C,4,7pYUEPmQofVKAJhgXTf9GA,"EMI",GBALX9390108,no
63,"El Dorado - From  The Road To El Dorado  Soundtrack","Elton John",102,8B,88,2021-01-01,04:22,42,"glam rock, mellow gold, piano rock, rock","Rock","The Road To El Dorado (Original Motion Picture Soundtrack)",2000-01-01,64,3,0,45,0,10,-6,C,4,3ScTaxssPMiRO61W9vkafW,"Geffen",USDW10021667,no
64,"Friends Never Say Goodbye - From  The Road To El Dorado  Soundtrack","Elton John",121,4A,53,2021-01-01,04:20,37,"glam rock, mellow gold, piano rock, rock","Rock","The Road To El Dorado (Original Motion Picture Soundtrack)",2000-01-01,63,66,0,31,0,10,-8,F minor,4,3pxxSXxPKNXleWZ9ZcL0k1,"Geffen",USDW10021670,no
65,"16th Century Man - From  The Road To El Dorado  Soundtrack","Elton John",165,8B,91,2021-01-01,03:39,27,"glam rock, mellow gold, piano rock, rock","Rock","The Road To El Dorado (Original Motion Picture Soundtrack)",2000-01-01,51,25,1,96,0,10,-5,C,4,3P35Ia0w6dgi5uamfjo0jw,"Geffen",USDW10021672,no
66,"Dark Diamond","Elton John",125,3B,82,2021-01-04,04:26,27,"glam rock, mellow gold, piano rock, rock","Rock","Songs From The West Coast (Expanded Edition)",2001-10-01,71,3,0,87,0,0,-6,C♯/D♭,4,6k4aQRWQonqxfW5AZ3iKNa,"EMI",GBF080100301,no
67,"American Triangle","Elton John",129,5A,53,2021-01-04,04:49,29,"glam rock, mellow gold, piano rock, rock","Rock","Songs From The West Coast (Expanded Edition)",2001-10-01,67,41,0,22,0,10,-7,C minor,4,6mCmViyyn4V3Teh5M6LUuU,"EMI",GBF080100327,no
68,"This Train Don't Stop There Anymore","Elton John",204,4B,64,2021-01-04,04:38,48,"glam rock, mellow gold, piano rock, rock","Rock","Songs From The West Coast (Expanded Edition)",2001-10-01,39,9,0,33,0,10,-6,G#/A♭,4,6mFnYxzUmEzEiqkB94k3g7,"EMI",GBF080100298,no
69,"The North Star","Elton John",120,7B,65,2021-01-04,05:28,17,"glam rock, mellow gold, piano rock, rock","Rock","Songs From The West Coast (Expanded Edition)",2001-10-01,57,4,0,41,0,20,-6,F,3,3ckYMpc386fUZHI1g809nB,"EMI",GBF080100322,no
70,"Porch Swing In Tupelo","Elton John",133,7B,51,2021-01-05,04:38,27,"glam rock, mellow gold, piano rock, rock","Rock","Peachtree Road (Expanded Edition)",2004-11-07,60,79,0,33,0,10,-8,F,4,4p70FGbzp42lqIuLbGGbtI,"EMI",GBF080400428,no
71,"Turn The Lights Out When You Leave","Elton John",84,9B,62,2021-01-05,05:02,33,"glam rock, mellow gold, piano rock, rock","Rock","Peachtree Road (Expanded Edition)",2004-11-07,55,53,0,25,0,10,-7,G,4,1lGwSKgdYCWXU2LH0P2SZ4,"EMI",GBF080400424,no
72,"Freaks In Love","Elton John",152,6B,46,2021-01-05,04:31,35,"glam rock, mellow gold, piano rock, rock","Rock","Peachtree Road (Expanded Edition)",2004-11-07,61,72,0,44,0,10,-7,A#/B♭,3,5bZbZQRl6rO5pw65cRc5nQ,"EMI",GBF080400432,no
73,"Just Like Noah's Ark","Elton John",124,5B,87,2021-01-06,05:33,20,"glam rock, mellow gold, piano rock, rock","Rock","The Captain and The Kid",2006-09-15,65,25,23,92,0,40,-5,D#/E♭,4,4ebWknUfhc3lY4BtarK1z0,"EMI",GBUM70602619,no
74,"The Bridge","Elton John",111,3B,31,2021-01-06,03:38,36,"glam rock, mellow gold, piano rock, rock","Rock","The Captain and The Kid",2006-09-15,48,95,0,18,0,10,-10,C♯/D♭,4,78i0joKG9JwJDqtxcQOPXE,"EMI",GBUM70602623,no
75,"I Must Have Lost It On The Wind","Elton John",81,10B,69,2021-01-06,03:53,18,"glam rock, mellow gold, piano rock, rock","Rock","The Captain and The Kid",2006-09-15,62,40,0,74,0,10,-7,D,4,3HvxAXWaHkbbAzEhJiUDz4,"EMI",GBUM70602618,no
76,"If It Wasn't For Bad","Elton John, Leon Russell",119,7A,76,2021-01-06,03:42,33,"glam rock, mellow gold, piano rock, rock, outlaw country","Rock","The Union",2010-01-01,72,51,3,72,0,20,-8,D minor,4,4Wb5ywdEB91XYTNRJuISjO,"EMI",GBUM71025888,no
77,"There's No Tomorrow","Elton John, Leon Russell",91,4A,44,2021-01-07,03:45,16,"glam rock, mellow gold, piano rock, rock, outlaw country","Rock","The Union",2010-01-01,43,74,34,25,0,10,-10,F minor,3,6YSWnsrSyGtWRQmyhdD6su,"EMI",GBUM71026487,no
78,"A Dream Come True","Elton John, Leon Russell",119,8B,76,2021-01-07,05:06,15,"glam rock, mellow gold, piano rock, rock, outlaw country","Rock","The Union",2010-01-01,56,35,80,77,0,10,-10,C,4,39yfQlQLPcOsgqLPqM4hM1,"EMI",GBUM71025890,no
79,"Oscar Wilde Gets Out","Elton John",87,7A,61,2021-01-08,04:35,17,"glam rock, mellow gold, piano rock, rock","Rock","The Diving Board (Deluxe Version)",2013-09-16,56,46,66,51,0,10,-9,D minor,4,5RbY6AVs9ob3CwAZA9nR8d,"EMI",GBUM71303456,no
80,"Voyeur","Elton John",133,5B,51,2021-01-12,04:16,16,"glam rock, mellow gold, piano rock, rock","Rock","The Diving Board (Deluxe Version)",2013-09-16,49,45,7,37,0,10,-10,D#/E♭,4,2RdAw1XJ6wfz26XqLgwuWE,"EMI",GBUM71303183,no
81,"Dream # 2","Elton John",95,8A,21,2021-01-12,00:43,12,"glam rock, mellow gold, piano rock, rock","Rock","The Diving Board (Deluxe Version)",2013-09-16,48,96,99,34,0,10,-17,A minor,4,5xKhIaA6OU1lPPKfmdZRFM,"EMI",GBUM71303192,no
82,"Mexican Vacation (Kids In The Candlelight)","Elton John",94,8B,67,2021-01-12,03:33,14,"glam rock, mellow gold, piano rock, rock","Rock","The Diving Board (Deluxe Version)",2013-09-16,71,18,0,60,0,10,-8,C,4,4deaZiYMv945qTgQVQCoK8,"EMI",GBUM71303198,no
83,"Dream # 3","Elton John",138,8A,45,2021-01-12,01:36,13,"glam rock, mellow gold, piano rock, rock","Rock","The Diving Board (Deluxe Version)",2013-09-16,35,86,77,81,0,10,-14,A minor,1,7cnCGtAN2cNPanepvsfW0G,"EMI",GBUM71303202,no
84,"Candlelit Bedroom","Elton John",72,8B,44,2021-01-12,04:13,13,"glam rock, mellow gold, piano rock, rock","Rock","The Diving Board (Deluxe Version)",2013-09-16,64,59,1,43,0,10,-9,C,4,6Qnsg5wtIChYf7wuLaMvgi,"EMI",GBUM71303558,no
85,"Wonderful Crazy Night","Elton John",112,7B,80,2021-01-12,03:13,34,"glam rock, mellow gold, piano rock, rock","Rock","Wonderful Crazy Night (Deluxe)",2016-02-05,72,9,0,89,0,20,-5,F,4,4SKakzuaSX2PMXIHGUDNyo,"EMI",GBUM71506178,no
86,"Guilty Pleasure","Elton John",81,9B,94,2021-01-14,03:38,17,"glam rock, mellow gold, piano rock, rock","Rock","Wonderful Crazy Night (Deluxe)",2016-02-05,53,0,27,70,0,30,-5,G,4,7MMa1gv3FmDBl9hKQFs6M5,"EMI",GBUM71506182,no
87,"England And America","Elton John",153,6B,87,2021-01-14,03:51,15,"glam rock, mellow gold, piano rock, rock","Rock","Wonderful Crazy Night (Deluxe)",2016-02-05,38,2,4,82,0,0,-6,A#/B♭,4,3OK6xt63jBRG8M0M4fojF2,"EMI",GBUM71506219,no
88,"Tactics","Elton John",130,6B,42,2021-01-18,02:48,0,"glam rock, mellow gold, piano rock, rock","Rock","Jewel Box",2020-11-13,51,30,94,18,0,10,-17,A#/B♭,4,6mSdK2zCUVf8V0gwQPyIxL,"UMC (Universal Music Catalogue)",GBUM70711387,no
89,"Love So Cold","Elton John",137,8B,51,2021-01-18,05:04,0,"glam rock, mellow gold, piano rock, rock","Rock","Jewel Box",2020-11-13,74,13,0,90,0,0,-12,C,4,1FfFaglDZ78rm6AKfEA2gW,"UMC (Universal Music Catalogue)",GBUM70711383,no
90,"Donner Pour Donner","Elton John, France Gall",84,8B,36,2021-01-18,04:28,0,"glam rock, mellow gold, piano rock, rock, variété française, chanson, french pop, french house","Folk, Traditional Music, Electronic, Rock, Pop","Jewel Box",2020-11-13,54,33,0,45,0,0,-17,C,4,29BwDi4AgQHL464IBZYhIc,"UMC (Universal Music Catalogue)",GBALX9400002,no
91,"J'veux D'la Tendresse","Elton John",118,3A,66,2021-01-18,03:39,0,"glam rock, mellow gold, piano rock, rock","Rock","Jewel Box",2020-11-13,65,17,0,54,0,20,-11,A#/B♭ minor,4,4DDdpHwG0sZGc4oLljpjip,"UMC (Universal Music Catalogue)",GBUM72003387,no
92,"Tortured","Elton John",115,7B,28,2021-01-18,04:44,0,"glam rock, mellow gold, piano rock, rock","Rock","Jewel Box",2020-11-13,48,31,0,16,0,10,-16,F,3,30P9LVPdxsYZaD661ddMVk,"UMC (Universal Music Catalogue)",GBUM70711388,no
93,"I Know Why I'm In Love","Elton John",105,8A,47,2021-02-01,04:32,0,"glam rock, mellow gold, piano rock, rock","Rock","Jewel Box",2020-11-13,63,53,0,44,0,0,-14,A minor,4,5DYKAN7Soafb0llPMedTK5,"UMC (Universal Music Catalogue)",GBAMS9700012,no
94,"You Can Make History (Young Again)","Elton John",92,10B,72,2021-02-01,04:54,35,"glam rock, mellow gold, piano rock, rock","Rock","Candle In The Wind 1997 / Something About ...",1997-01-01,66,16,1,48,0,30,-9,D,4,2ChvdpARUc5va0hLi51Nmp,"EMI",GBAMS9600103,no
